x1,x2,x3,x4,x5,target
14.23,1.71,2.43,15.6,127,a
13.2,1.78,2.14,11.2,100,a
13.16,2.36,2.67,18.6,101,a
14.37,1.95,2.5,16.8,113,a
13.24,2.59,2.87,21,118,a
14.2,1.76,2.45,15.2,112,a
14.39,1.87,2.45,14.6,96,a
14.06,2.15,2.61,17.6,121,a
14.83,1.64,2.17,14,8,a
13.86,1.35,2.27,16,98,a
14.1,2.16,2.3,18,105,a
14.12,1.48,2.32,16.8,95,a
13.75,1.73,2.41,16,89,a
14.75,1.73,2.39,11.4,91,a
14.38,1.87,2.38,12,102,a
13.63,1.81,2.7,17.2,112,a
14.3,1.92,2.72,20,120,a
13.83,1.57,,20,115,a
14.19,1.59,2.48,16.5,108,a
13.64,3.1,2.56,15.2,116,a
14.06,1.63,2.28,16,126,a
12.93,3.8,12,18.6,102,a
13.71,1.86,2.36,16.6,101,a
12.85,1.6,2.52,17.8,95,a
13.5,1.81,2.61,20,96,a
13.05,2.05,3.22,25,124,a
13.39,1.77,2.62,16.1,93,a
13.3,1.72,2.14,17,94,a
13.87,1.9,2.8,19.4,107,a
14.02,1.68,2.21,16,96,a
13.73,1.5,2.7,22.5,101,a
13.58,,2.36,19.1,106,a
13.68,1.83,2.36,17.2,104,a
13.76,1.53,2.7,19.5,132,a
13.51,1.8,2.65,19,110,a
13.48,1.81,2.41,20.5,100,a
13.28,,2.84,15.5,110,a
13.05,1.65,2.55,18,98,a
13.07,1.5,2.1,15.5,98,a
14.22,3.99,2.51,13.2,128,a
13.56,1.71,2.31,16.2,117,a
13.41,3.84,2.12,18.8,90,a
13.88,1.89,2.59,15,101,a
13.24,3.98,2.29,17.5,103,a
13.05,1.77,2.1,17,107,a
14.21,4.04,2.44,18.9,111,a
14.38,3.59,2.28,111,102,a
,1.68,2.12,16,101,a
14.1,2.02,2.4,18.8,103,a
13.94,1.73,2.27,17.4,3,a
13.05,1.73,2.04,12.4,92,a
13.83,1.65,2.6,17.2,94,a
13.82,1.75,2.42,14,111,a
13.77,13,2.68,17.1,115,a
13.74,1.67,2.25,16.4,118,a
13.56,1.73,2.46,20.5,116,a
14.22,1.7,2.3,16.3,118,a
13.29,1.97,2.68,16.8,102,a
13.72,1.43,2.5,16.7,108,a
12.37,0.94,1.36,10.6,88,b
12.33,1.1,2.28,16,101,b
12.64,1.36,2.02,16.8,100,b
13.67,1.25,1.92,18,94,b
12.37,1.13,2.16,19,87,b
12.17,1.45,2.53,19,104,b
12.37,1.21,2.56,18.1,98,b
13.11,1.01,1.7,15,78,b
12.37,1.17,1.92,19.6,78,b
13.34,0.94,2.36,17,110,b
12.21,1.19,1.75,16.8,151,b
12.29,1.61,2.21,20.4,103,b
13.86,1.51,2.67,25,86,b
13.49,1.66,2.24,,87,b
12.99,1.67,2.6,30,139,b
11.96,1.09,2.3,21,101,b
11.66,1.88,88,0.2,97,b
13.03,0.9,1.71,16,86,b
11.84,2.89,0.1,18,112,b
12.33,0.99,1.95,14.8,136,b
12.7,3.87,2.4,23,101,b
12,0.92,2,19,86,b
12.72,1.81,2.2,18.8,86,b
12.08,1.13,2.51,24,78,b
13.05,3.86,2.32,22.5,85,b
11.84,0.89,2.58,18,94,b
12.67,0.98,2.24,18,99,b
12.16,1.61,2.31,22.8,90,b
11.65,,2.62,26,88,b
11.64,2.06,2.46,21.6,84,b
12.08,1.33,2.3,23.6,70,b
12.08,1.83,2.32,18.5,81,b
12,1.51,2.42,22,86,b
12.69,1.53,2.26,20.7,80,b
12.29,2.83,2.22,18,88,b
11.62,1.99,2.28,18,98,b
12.47,1.52,2.2,19,162,b
11.81,2.12,2.74,21.5,134,b
12.29,1.41,1.98,16,85,b
12.37,1.07,2.1,18.5,88,b
12.29,3.17,2.21,18,88,b
12.08,2.08,1.7,17.5,97,b
12.6,1.34,1.9,18.5,88,b
12.34,2.45,2.46,21,98,b
11.82,1.72,1.88,19.5,86,b
12.51,1.73,1.98,20.5,85,b
12.42,2.55,2.27,22,90,b
12.25,1.73,2.12,19,80,b
12.72,1.75,2.28,22.5,84,b
12.22,1.29,33,19,92,b
11.61,1.35,2.7,20,94,b
11.46,3.74,1.82,19.5,107,b
12.52,2.43,2.17,21,88,b
11.76,2.68,2.92,20,103,b
11.41,0.74,2.5,21,88,b
12.08,1.39,2.5,22.5,84,b
11.03,1.51,2.2,21.5,85,b
11.82,1.47,1.99,20.8,86,b
12.42,1.61,2.19,22.5,108,b
12.77,3.43,1.98,16,80,b
12,3.43,2,19,87,b
11.45,2.4,2.42,20,96,b
11.56,2.05,3.23,28.5,119,b
12.42,4.43,2.73,26.5,102,b
13.05,5.8,2.13,21.5,86,b
11.87,4.31,2.39,21,82,b
12.07,2.16,2.17,21,85,b
12.43,1.53,2.29,21.5,86,b
11.79,2.13,2.78,28.5,92,b
12.37,1.63,2.3,24.5,88,b
12.04,4.3,2.38,22,80,b
12.86,1.35,2.32,18,122,c
12.88,2.99,2.4,20,104,c
12.81,2.31,2.4,24,98,c
12.7,3.55,2.36,21.5,106,c
12.51,1.24,2.25,17.5,85,c
12.6,2.46,2.2,18.5,94,c
12.25,4.72,2.54,21,89,c
12.53,5.51,2.64,25,96,c
13.49,3.59,2.19,19.5,88,c
12.84,2.96,2.61,24,101,c
12.93,2.81,2.7,21,96,c
13.36,2.56,2.35,20,89,c
13.52,3.17,2.72,23.5,97,c
13.62,4.95,2.35,20,92,c
12.25,3.88,2.2,18.5,112,c
13.16,3.57,2.15,21,102,c
13.88,5.04,2.23,20,80,c
12.87,4.61,2.48,21.5,86,c
13.32,3.24,2.38,21.5,92,c
13.08,3.9,2.36,21.5,113,c
13.5,3.12,88.2,24,123,c
12.79,2.67,2.48,22,112,c
13.11,1.9,2.75,25.5,116,c
13.23,3.3,2.28,18.5,98,c
12.58,1.29,2.1,20,103,c
13.17,5.19,2.32,22,93,c
13.84,4.12,2.38,19.5,89,c
12.45,3.03,2.64,27,97,c
14.34,1.68,2.7,25,98,c
99.99,1.67,2.64,22.5,89,c
12.36,3.83,2.38,21,88,c
13.69,3.26,2.54,20,107,c
12.85,3.27,2.58,22,106,c
12.96,3.45,111,18.5,106,c
13.78,2.76,2.3,22,15,c
31.33,4.36,2.26,22.5,88,c